500  0.32 ,  0.31 ,  0.25 ,  0.293333 , 
600  0.17 ,  0.16 ,  0.17 ,  0.166667 , 
700  0.17 ,  0.16 ,  0.17 ,  0.166667 , 
800  0.5 ,  0.49 ,  0.49 ,  0.493333 , 
900  0.5 ,  0.5 ,  0.49 ,  0.496667 , 
1000  0.5 ,  0.5 ,  0.49 ,  0.496667 , 
1100  1.49 ,  1.48 ,  1.49 ,  1.48667 , 
1200  1.49 ,  1.48 ,  1.49 ,  1.48667 , 
1300  1.48 ,  1.49 ,  1.48 ,  1.48333 , 
1400  1.49 ,  1.49 ,  1.48 ,  1.48667 , 
1500  1.5 ,  1.49 ,  1.49 ,  1.49333 , 
